/
1
47, 19
54, 18
61, 23
68, 18
75, 23
82, 19
89, 23
95, 16
102, 18
109, 19
116, 19
123, 19
130, 16
138, 18
145, 21
152, 19
159, 23
166, 23
172, 19
179, 23
186, 19
193, 16
200, 21
208, 16
215, 23
222, 23
229, 18
236, 19
244, 19
251, 16
258, 23
266, 21
273, 19
280, 21
287, 19
294, 19
301, 16
309, 21
316, 19
324, 16
330, 23
338, 18
345, 19
353, 19
360, 16
367, 16
374, 19
382, 19
389, 18
396, 21
404, 21
411, 18
418, 16
425, 23
432, 19
439, 16
446, 19
/
1
48, 23
55, 16
63, 16
70, 19
77, 18
84, 21
91, 19
98, 16
106, 18
113, 23
120, 18
128, 19
135, 16
143, 21
149, 19
156, 16
164, 16
171, 18
177, 18
185, 23
192, 19
199, 21
207, 23
214, 16
221, 16
229, 16
236, 16
244, 16
251, 19
258, 16
266, 18
273, 18
280, 19
287, 19
294, 19
301, 16
308, 23
316, 23
324, 16
331, 18
338, 19
346, 23
353, 19
360, 19
367, 21
375, 18
382, 23
389, 18
397, 19
404, 23
412, 19
419, 18
426, 18
433, 16
440, 16
447, 16
454, 18
/
1
47, 19
54, 16
61, 16
68, 23
76, 23
84, 16
91, 16
98, 21
106, 19
113, 21
120, 19
127, 18
134, 18
142, 23
149, 23
156, 19
164, 19
171, 16
176, 23
178, 23
179, 21
182, 18
184, 18
184, 18
184, 18
185, 21
187, 22
186, 22
188, 16
188, 15
189, 21
190, 17
189, 17
191, 23
191, 22
193, 21
192, 21
191, 20
193, 19
192, 18
191, 17
195, 19
194, 18
196, 23
195, 22
197, 21
196, 20
198, 22
197, 22
197, 21
197, 21
199, 19
198, 18
200, 15
199, 15
201, 20
201, 19
/
1
42, 18
44, 16
46, 23
47, 18
47, 18
49, 18
50, 18
51, 16
52, 21
53, 23
52, 22
54, 23
56, 21
55, 21
54, 21
58, 19
59, 23
60, 16
61, 16
63, 21
62, 20
64, 19
65, 23
68, 18
70, 16
72, 21
77, 16
85, 16
92, 19
99, 16
106, 23
112, 19
120, 21
127, 21
134, 19
141, 23
149, 19
156, 21
164, 18
171, 16
179, 21
186, 21
193, 23
201, 18
208, 18
215, 19
222, 16
230, 19
237, 19
244, 18
251, 18
259, 19
266, 18
274, 16
281, 18
289, 23
296, 18
/
1
48, 23
55, 21
63, 23
70, 19
77, 21
84, 16
91, 19
99, 18
106, 23
113, 18
121, 21
129, 21
136, 21
143, 16
151, 18
158, 19
165, 19
172, 21
179, 19
186, 23
194, 16
201, 23
208, 23
214, 18
221, 19
228, 23
236, 23
243, 19
250, 21
258, 19
265, 18
272, 18
279, 18
286, 16
293, 18
300, 18
308, 21
315, 16
322, 19
329, 19
337, 16
344, 19
352, 18
358, 21
366, 21
373, 21
380, 21
387, 21
395, 18
402, 23
409, 18
416, 21
423, 19
430, 16
437, 18
444, 23
452, 23
/
1
47, 21
54, 19
61, 19
69, 21
76, 16
82, 19
90, 23
97, 21
104, 21
111, 23
118, 18
125, 19
132, 16
139, 16
147, 19
154, 23
161, 19
168, 19
176, 19
183, 18
190, 23
197, 19
204, 16
211, 18
218, 23
226, 18
233, 19
241, 19
248, 18
255, 21
262, 18
269, 19
277, 21
284, 19
291, 21
298, 19
305, 21
313, 16
320, 19
327, 21
333, 16
340, 16
347, 16
354, 23
362, 19
369, 16
376, 23
383, 21
390, 16
397, 21
405, 23
412, 23
419, 19
426, 18
433, 23
441, 23
448, 21
/
1
48, 23
55, 16
62, 19
69, 19
76, 21
83, 18
90, 19
97, 18
104, 23
111, 18
119, 21
126, 23
133, 23
139, 21
146, 16
153, 21
160, 23
167, 23
174, 18
181, 23
188, 16
195, 23
202, 16
210, 16
217, 16
224, 16
232, 23
239, 21
246, 18
254, 16
261, 19
268, 19
276, 23
283, 23
290, 18
297, 19
304, 19
311, 18
318, 23
325, 23
332, 16
339, 16
347, 16
354, 21
361, 16
368, 18
375, 18
382, 21
389, 23
396, 23
403, 23
410, 16
418, 16
